[        642         344];[        685         307];[        596         311];[        747         327];[        544         338];[        849         552];[        425         548];[        908         719];[        311         711];[        814         690];[        373         687];[        738         723];[        497         720];[        692         640];[        542         646];[        625         651];[        569         655];
[        641         343];[        685         307];[        597         310];[        745         328];[        548         336];[        851         554];[        427         547];[        908         721];[        302         714];[        810         689];[        386         681];[        737         724];[        497         721];[        691         639];[        542         646];[        625         651];[        570         655];
[        642         343];[        685         306];[        596         310];[        745         327];[        544         337];[        848         552];[        427         545];[        907         718];[        307         711];[        810         687];[        378         684];[        738         722];[        497         719];[        693         641];[        542         649];[        625         651];[        569         656];
[        640         343];[        684         307];[        596         311];[        744         328];[        548         336];[        849         553];[        428         546];[        904         718];[        309         710];[        800         684];[        372         685];[        737         723];[        498         719];[        692         639];[        540         646];[        625         651];[        569         656];
[        640         343];[        684         306];[        596         310];[        747         327];[        547         336];[        852         554];[        428         546];[        908         719];[        304         712];[        811         688];[        368         685];[        739         723];[        497         720];[        693         640];[        542         647];[        627         651];[        570         656];
[        641         343];[        684         306];[        596         310];[        745         325];[        548         336];[        850         553];[        427         547];[        908         718];[        309         711];[        814         688];[        369         686];[        737         723];[        496         720];[        691         640];[        541         647];[        625         651];[        569         655];
[        640         343];[        683         306];[        595         310];[        745         326];[        543         337];[        850         554];[        426         548];[        906         719];[        307         713];[        809         685];[        395         683];[        737         722];[        497         719];[        692         640];[        543         646];[        626         651];[        570         655];
[        640         343];[        683         307];[        595         311];[        743         326];[        545         337];[        850         552];[        427         546];[        909         718];[        307         710];[        815         689];[        380         683];[        738         723];[        498         720];[        693         641];[        542         648];[        626         651];[        570         655];
[        639         343];[        683         305];[        594         310];[        746         327];[        544         338];[        852         554];[        426         549];[        906         719];[        307         712];[        808         687];[        392         682];[        740         723];[        498         720];[        695         639];[        545         645];[        628         650];[        571         655];
[        639         343];[        683         307];[        595         311];[        744         328];[        549         337];[        851         553];[        428         546];[        906         719];[        306         710];[        805         687];[        391         683];[        739         723];[        499         720];[        692         640];[        543         647];[        626         651];[        571         656];
[        640         342];[        683         306];[        595         310];[        741         327];[        545         336];[        850         554];[        424         547];[        905         719];[        315         707];[        806         686];[        367         688];[        738         723];[        497         720];[        693         639];[        541         646];[        626         652];[        568         657];
[        638         340];[        682         305];[        595         309];[        743         328];[        546         335];[        851         556];[        425         548];[        905         721];[        307         713];[        801         685];[        393         681];[        736         723];[        495         720];[        690         638];[        541         644];[        623         651];[        568         656];
